player,n_headers,goals_scored,expected_goals,difference
stefano okaka,7,3.0,0.5914906013640293,-2.4085093986359705
joselu,54,8.0,5.660864076882926,-2.339135923117076
lionel messi,53,8.0,5.661820688176496,-2.3381793118235077
arouna kone,19,5.0,2.677163392193078,-2.3228366078069227
pablo sarabia,6,3.0,0.7150103332815083,-2.2849896667184915
lukasz piszczek,26,5.0,2.7192746277028776,-2.2807253722971232
falcao,104,16.0,13.729245287427606,-2.270754712572385
steven naismith,14,4.0,1.7438337788917564,-2.2561662211082436
papiss demba cisse,36,6.0,3.7583798254629484,-2.2416201745370525
divock origi,16,5.0,2.7724769323456733,-2.227523067654327
lisandro,9,3.0,0.7726315320328003,-2.227368467967199
pedro bigas,18,4.0,1.785054161334359,-2.214945838665641
roberto firmino,52,7.0,4.787990688443903,-2.2120093115561
artur ionita,19,4.0,1.7985905854641482,-2.201409414535851
robert lewandowski,141,16.0,13.800996196833616,-2.199003803166359
osorio,5,3.0,0.8059843414335905,-2.1940156585664097
islam slimani,12,4.0,1.8337268516744023,-2.1662731483255984
aissa mandi,37,9.0,6.838734024293188,-2.1612659757068124
igor budan,17,5.0,2.839357649395598,-2.1606423506044035
innocent emeghara,16,4.0,1.8423111512554862,-2.1576888487445123
tiago,23,5.0,2.8438621567754803,-2.1561378432245197
james morrison,14,4.0,1.8460502007630488,-2.153949799236951
emmanuel adebayor,17,4.0,1.8535916456158543,-2.1464083543841452
romelu lukaku,66,11.0,8.853691507009662,-2.1463084929903427
stephane mbia,26,6.0,3.8541331213865364,-2.1458668786134636
ricardo alvarez,8,3.0,0.8629968365389261,-2.1370031634610736
joaquin,14,4.0,1.8795780144560015,-2.1204219855439987
willian jose,27,5.0,2.8826513706278893,-2.1173486293721107
eros pisano,25,5.0,2.9006024508896338,-2.0993975491103662
riyad mahrez,7,3.0,0.907396850595561,-2.0926031494044386
rodrigo palacio,58,9.0,6.916476783815806,-2.083523216184197
pape souare,10,3.0,0.9184445632768706,-2.0815554367231295
mesut ozil,5,3.0,0.9332167302355107,-2.0667832697644895
steven gerrard,7,3.0,0.9523934287016786,-2.0476065712983216
yuto nagatomo,6,3.0,0.9537130233457419,-2.0462869766542577
diafra sakho,35,7.0,4.967345720452122,-2.0326542795478817
oscar trejo,7,3.0,1.0070960573359158,-1.9929039426640842
james rodriguez,8,3.0,1.0082059419021785,-1.9917940580978215
wissam ben yedder,46,7.0,5.008818489522192,-1.9911815104778072
victor anichebe,17,4.0,2.0148273482368917,-1.985172651763108
matias silvestre,20,5.0,3.018336641997063,-1.9816633580029368
nicolas otamendi,34,6.0,4.020568992887464,-1.979431007112536
lisandro lopez,23,5.0,3.0223781938463565,-1.9776218061536432
benjamin moukandjo,38,6.0,4.023658681948966,-1.9763413180510345
giulio migliaccio,28,5.0,3.032085319893824,-1.9679146801061773
juanmi,17,4.0,2.0349032905973594,-1.9650967094026408
bas dost,57,8.0,6.041112604222417,-1.958887395777588
david villa,20,4.0,2.043147775502163,-1.9568522244978348
tongo hamed doumbia,14,4.0,2.0522521008585235,-1.9477478991414763
martin harnik,43,8.0,6.052971529282965,-1.9470284707170367
robin van persie,18,4.0,2.0799114360721243,-1.920088563927876
alain traore,13,3.0,1.0841918052238315,-1.9158081947761683
claudio marchisio,7,3.0,1.0945031302128645,-1.9054968697871355
alberto paloschi,54,8.0,6.11058732797916,-1.8894126720208437
pablo piatti,13,3.0,1.112047464116266,-1.887952535883734
henrikh mkhitaryan,6,3.0,1.1166946002637252,-1.8833053997362748
miroslav klose,66,11.0,9.117673429076829,-1.882326570923175
loic perrin,45,10.0,8.11967255659571,-1.8803274434042918
nicola ninkovic,2,2.0,0.12194339144045749,-1.8780566085595425
sergio aguero,37,8.0,6.125339746977784,-1.8746602530222198
timm klose,19,4.0,2.1380064506630436,-1.8619935493369564
wilfried bony,65,9.0,7.139226851461929,-1.860773148538073
roberto torres,2,2.0,0.14739650248720929,-1.8526034975127907
