player,n_outside_box_shots,goals_scored,expected_goals,difference
david ivan,4,0.0,0.136464664344211,0.136464664344211
benjamin kessel,5,0.0,0.13681648108478656,0.13681648108478656
alexis,3,0.0,0.13693265288337542,0.13693265288337542
yohandry orozco,5,0.0,0.1371344657121746,0.1371344657121746
federico ricci,5,0.0,0.1371344657121746,0.1371344657121746
sene,4,0.0,0.13756056340646355,0.13756056340646355
joel sami,4,0.0,0.13756056340646355,0.13756056340646355
ashley williams,5,0.0,0.1378938688901532,0.1378938688901532
lucas lima,7,0.0,0.13802619496461127,0.13802619496461127
dario dainelli,5,0.0,0.13838753669923962,0.13838753669923962
riccardo cazzola,5,0.0,0.13865327206813183,0.13865327206813183
ben mee,5,0.0,0.13870290469663524,0.13870290469663524
laurent koscielny,4,0.0,0.13871591324421473,0.13871591324421473
curtis davies,3,0.0,0.13906184576804514,0.13906184576804514
koffi djidji,4,0.0,0.13936662882417503,0.13936662882417503
johannes flum,38,1.0,1.1396696274303457,0.13966962743034567
richard socrier,5,0.0,0.13989301995095255,0.13989301995095255
kader mangane,5,0.0,0.14041300671561718,0.14041300671561718
dani nieto,4,0.0,0.1409225694728805,0.1409225694728805
john tshibumbu lungeny,5,0.0,0.14122465915209162,0.14122465915209162
gideon jung,5,0.0,0.14122465915209162,0.14122465915209162
alex alegria,5,0.0,0.14122465915209162,0.14122465915209162
ariel borysiuk,5,0.0,0.14122465915209162,0.14122465915209162
marcus rashford,5,0.0,0.14149039452098383,0.14149039452098383
guillermo giacomazzi,5,0.0,0.14149039452098383,0.14149039452098383
loe,4,0.0,0.14166387685165308,0.14166387685165308
david rozehnal,5,0.0,0.14198406233007022,0.14198406233007022
thomas kahlenberg,6,0.0,0.14204278165031978,0.14204278165031978
michael lumb,7,0.0,0.14235771831574068,0.14235771831574068
ericmaxim choupomoting,5,0.0,0.1424907259904906,0.1424907259904906
adrian embarba,32,1.0,1.1425119892399471,0.1425119892399473
alban meha,44,1.0,1.1426154940448896,0.14261549404488982
jonathan rodriguez,4,0.0,0.14339198023698005,0.14339198023698005
